missing_ratio,method,scale,bucket,channel,eval_points,rmse,mae,crps,crps_scaled_by_abs_target,value_type,near_constant,differenced
0.08,linear_interpolation,original,nominal,channel_73,1015,0.005497894974676537,0.004257478796202561,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_74,985,0.006404313327175156,0.005294947757333668,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_75,976,0.004721827463428813,0.004138581637964874,,,discrete_like,False,False
0.08,linear_interpolation,original,nominal,channel_76,980,0.006750645225492037,0.005777796859643897,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_1,0,,,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_2,0,,,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_3,0,,,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_4,0,,,,,continuous,False,True
0.08,linear_interpolation,original,anomaly_rare,channel_5,0,,,,,continuous,False,True
0.08,linear_interpolation,original,anomaly_rare,channel_6,0,,,,,continuous,False,True
0.08,linear_interpolation,original,anomaly_rare,channel_7,0,,,,,continuous,False,True
0.08,linear_interpolation,original,anomaly_rare,channel_8,0,,,,,discrete_like,False,True
0.08,linear_interpolation,original,anomaly_rare,channel_9,0,,,,,discrete_like,False,True
0.08,linear_interpolation,original,anomaly_rare,channel_10,0,,,,,discrete_like,False,True
0.08,linear_interpolation,original,anomaly_rare,channel_11,0,,,,,discrete_like,False,True
0.08,linear_interpolation,original,anomaly_rare,channel_12,20,0.0007399152724179387,0.00023398175835609436,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_13,17,0.000281988515765571,9.175784447613885e-05,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_14,42,0.000761164793109329,0.00029576392400832406,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_15,54,0.0013744227782435388,0.00040329496065775555,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_16,40,0.0009193360805318252,0.00018386542797088623,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_17,28,0.0006063066702390493,0.00033205428293773105,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_18,18,0.0020023568109631637,0.0006281716956032647,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_19,19,0.0007590879395216751,0.00024624953144475033,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_20,33,0.0011913229623392225,0.00035449049689553,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_21,45,0.0007046395357191963,0.00031966037220425075,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_22,96,0.0010936539206471486,0.0005090250633656979,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_23,60,0.000964444297703421,0.0003353672722975413,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_24,32,0.00022982060860962994,5.74551522731781e-05,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_25,25,0.0005000922806910787,0.00015078306198120116,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_26,27,0.0007675681229509737,0.00022332094333789968,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_27,26,0.0003143011641410472,0.00011999102739187387,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_28,27,0.0002975105821544339,0.00011450714535183377,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_29,52,0.0006522334731526248,0.00018454858889946571,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_30,65,0.0010006787826795187,0.00030734997529249927,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_31,75,0.0014931736583455272,0.00044312874476114906,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_32,53,0.0006055984465395124,0.00015611806005801795,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_33,40,0.0026562308379004303,0.00118752121925354,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_34,20,0.00037162521968242757,0.0001117311418056488,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_35,16,0.0003263362303162262,0.00014130771160125732,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_36,23,0.00039828473410575546,0.00020342546960581905,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_37,21,0.00037631678956296776,0.000198078297433399,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_38,49,0.0006150955259625018,0.00027114639476853974,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_39,68,0.0006785837163600374,0.00019127481123980354,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_40,34,0.0030736632411089556,0.0013520647497738108,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_41,18,0.0005729117372855993,0.0002651678191290961,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_42,10,0.010329673231029929,0.005574649572372437,,,continuous,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_43,17,0.0007698173828717572,0.0004835076191846062,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_44,29,0.01363116827114804,0.004227234371777238,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_45,12,0.016561023641623707,0.005370003481705983,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_46,16,0.008007084119239657,0.0032197255641222,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_47,41,3.2402827477942305e-06,1.2264212184562915e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_48,44,2.6272736933172376e-06,1.456413883715868e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_49,34,2.7198052891524124e-06,1.7259838333462967e-06,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_50,38,0.0004676180155526262,0.00018916004582455285,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_51,32,0.0005867745008404534,0.00014951452612876892,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_52,44,0.0010431018257595426,0.00048000568693334407,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_53,0,,,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_54,0,,,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_55,0,,,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_56,0,,,,,discrete_like,False,False
0.08,linear_interpolation,original,anomaly_rare,channel_57,22,0.001500843280367385,0.0006860169497403232,,,continuous,False,False
