method,method_label,mask_family,mask_label,channel_index,channel,normalized_rmse,normalized_mae,evaluation_points
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,46,channel_47,1.0484120744958605,0.9407381061975314,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,47,channel_48,1.0656144897708715,0.9581606553956566,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,48,channel_49,1.0562314815187892,0.9475149240730177,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,49,channel_50,1.0491796187017963,0.9409787054350046,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,50,channel_51,1.0653552787248528,0.9587786970365881,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,51,channel_52,1.0567140093560599,0.9489456556931287,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,52,channel_53,0.9918318843227023,0.5003277678230126,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,53,channel_54,1.0260714032732967,0.6133627769841545,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,54,channel_55,0.9728946893996885,0.5872604768399413,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,55,channel_56,0.9925970359390579,0.6866680289489685,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,56,channel_57,1.0649129756058864,0.9602853655418301,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,57,channel_58,1.0673763681104047,0.9631829000307698,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,58,channel_59,1.0779146659866625,0.9699457129650879,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,59,channel_60,1.0617839006584422,0.9587186863713577,6144
raw_pearson,原值 Pearson Top-8,time_block_50,时间块缺失 50%,60,channel_61,0.9833400077462887,0.8848244542384577,6144
