channel_id,channel,horizon_steps,window_minutes,missing_ratio,method,spectral_cosine,dominant_peak_preserved,high_frequency_inflation
12,channel_12,96,48.0,0.9,zero,0.4854836632444177,False,-0.06214063479741187
12,channel_12,96,48.0,0.9,zero,0.3794400236922132,False,-0.04522442799175771
12,channel_12,96,48.0,0.9,zero,0.5516515606858249,True,-0.05805769854045732
12,channel_12,96,48.0,0.9,zero,0.5771923179444416,False,-0.05937765497669406
12,channel_12,96,48.0,0.9,zero,0.517804938356672,False,-0.06887123478319657
12,channel_12,96,48.0,0.9,zero,0.48648635648320243,False,-0.060088929406997206
12,channel_12,96,48.0,0.9,zero,0.3382720308880779,False,-0.08982366846393938
12,channel_12,96,48.0,0.9,zero,0.514339350515016,False,-0.05929093153303514
12,channel_12,96,48.0,0.9,zero,0.25338882653865885,False,-0.08369478887434473
12,channel_12,96,48.0,0.9,zero,0.5349054160245863,False,-0.06552277217229069
12,channel_12,96,48.0,0.9,zero,0.5959014188504883,False,-0.0694255346061546
12,channel_12,96,48.0,0.9,zero,0.5322224545027832,True,-0.05527980882755858
12,channel_12,96,48.0,0.9,zero,0.6502146226108321,False,-0.038437523087801406
12,channel_12,96,48.0,0.9,zero,0.4261489345023464,False,-0.057599365461806794
12,channel_12,96,48.0,0.9,zero,0.5445267962476497,False,-0.04727992311944848
12,channel_12,96,48.0,0.9,zero,0.7901126676013973,False,-0.03815428837573041
12,channel_12,96,48.0,0.9,zero,0.4668770320927625,False,-0.06332856083999583
12,channel_12,96,48.0,0.9,zero,0.524882324369303,False,-0.059613367072107695
12,channel_12,96,48.0,0.9,zero,0.7751489709517595,True,-0.04230859414574216
12,channel_12,96,48.0,0.9,zero,0.9990511262867031,True,-0.0016521445470070771
12,channel_12,96,48.0,0.9,zero,0.41755273951585903,False,-0.06691039536826222
12,channel_12,96,48.0,0.9,zero,0.34345819903004704,False,-0.060794524968085115
12,channel_12,96,48.0,0.9,zero,0.43909450177568826,False,-0.055378779726087374
12,channel_12,96,48.0,0.9,zero,0.7515167788857022,True,-0.03521534698058671
12,channel_12,96,48.0,0.9,zero,0.505505669530065,False,-0.06121185887700715
12,channel_12,96,48.0,0.9,zero,0.42773925056043305,False,-0.06277735379216315
12,channel_12,96,48.0,0.9,zero,0.6084412539235518,True,-0.053278370370459294
12,channel_12,96,48.0,0.9,zero,0.5515094049684914,True,-0.059857674366294696
12,channel_12,96,48.0,0.9,zero,0.6100187856267282,False,-0.05705487895750902
12,channel_12,96,48.0,0.9,zero,0.3904508740080934,False,-0.05981775984032975
12,channel_12,96,48.0,0.9,zero,0.3912664622286424,False,-0.06063188713834594
12,channel_12,96,48.0,0.9,zero,0.4453075524894226,False,-0.06154208455621573
12,channel_12,96,48.0,0.9,zero,0.42142249479786015,False,-0.0692183500065571
12,channel_12,96,48.0,0.9,zero,0.41399331888547886,False,-0.06922253266638255
12,channel_12,96,48.0,0.9,zero,0.3212036295227892,False,-0.06463272604363085
12,channel_12,96,48.0,0.9,zero,0.3311187232902849,False,-0.06512215677343244
12,channel_12,96,48.0,0.9,zero,0.46367375290968477,False,-0.058969083214091396
12,channel_12,96,48.0,0.9,linear,0.5557689553460368,True,-0.05241175385037439
12,channel_12,96,48.0,0.9,linear,0.3271092872531322,False,-0.07004981095429337
12,channel_12,96,48.0,0.9,linear,0.2989096787290328,False,-0.07252689632159867
12,channel_12,96,48.0,0.9,linear,0.4718095896652125,False,-0.051952211967025125
12,channel_12,96,48.0,0.9,linear,0.38607353758655727,False,-0.06723836556415909
12,channel_12,96,48.0,0.9,linear,0.28547834369987796,False,-0.04387665503359029
12,channel_12,96,48.0,0.9,linear,0.4684180645309977,False,-0.036236650860685005
12,channel_12,96,48.0,0.9,linear,0.30122410294835067,False,-0.07268604501776592
12,channel_12,96,48.0,0.9,linear,0.4539610410389149,False,-0.06014339618048219
12,channel_12,96,48.0,0.9,linear,0.24849460087878691,False,-0.07533680471692612
12,channel_12,96,48.0,0.9,linear,0.26861973536646633,False,-0.047738975197332466
12,channel_12,96,48.0,0.9,linear,0.3313945437691367,False,-0.07107750110398738
